iter	Passed	Remaining
0	1	1293
1	3	1584
2	4	1450
3	5	1408
4	7	1421
5	8	1381
6	9	1348
7	10	1313
8	12	1327
9	13	1307
10	14	1284
11	15	1264
12	16	1252
13	19	1398
14	21	1386
15	22	1361
16	23	1338
17	24	1314
18	25	1297
19	26	1277
20	27	1260
21	28	1247
22	28	1231
23	29	1215
24	31	1209
25	32	1202
26	33	1191
27	34	1188
28	35	1184
29	36	1175
30	37	1168
31	38	1162
32	39	1156
33	40	1147
34	41	1137
35	42	1127
36	42	1118
37	43	1108
38	44	1100
39	45	1098
40	46	1095
41	47	1089
42	48	1089
43	49	1083
44	50	1076
45	51	1070
46	52	1067
47	53	1063
48	54	1057
49	55	1050
50	56	1043
51	56	1037
52	57	1032
53	58	1027
54	59	1025
55	60	1022
56	61	1016
57	62	1011
58	63	1008
59	64	1004
60	65	1001
61	66	999
62	67	997
63	67	994
64	68	990
65	69	984
66	70	979
67	71	975
68	71	971
69	72	968
70	73	964
71	74	959
72	75	955
73	75	950
74	76	949
75	77	946
76	78	942
77	79	941
78	80	940
79	81	937
80	82	934
81	83	930
82	83	923
83	84	919
84	85	915
85	85	912
86	86	909
87	87	906
88	88	902
89	88	899
90	89	896
91	90	892
92	91	891
93	92	889
94	93	887
95	94	885
96	94	883
97	95	880
98	96	876
99	97	874
100	97	870
101	98	867
102	99	864
103	100	862
104	100	860
105	101	857
106	102	855
107	103	852
108	103	849
109	104	846
110	105	845
111	106	845
112	107	845
113	108	843
114	109	842
115	110	839
116	110	836
117	111	834
118	112	836
119	114	836
120	114	834
121	115	831
122	116	829
123	117	826
124	117	824
125	118	822
126	119	820
127	120	820
128	121	820
129	122	818
130	123	817
131	124	816
132	124	813
133	125	811
134	126	809
135	127	808
136	128	807
137	128	805
138	129	802
139	130	800
140	131	798
141	131	795
142	132	793
143	133	792
144	134	791
145	135	790
146	136	789
147	136	788
148	137	787
149	138	785
150	139	783
151	140	781
152	140	779
153	141	777
154	142	775
155	142	773
156	143	771
157	144	769
158	145	767
159	145	765
160	146	762
161	147	761
162	148	760
163	149	760
164	149	758
165	150	758
166	151	756
167	152	755
168	153	753
169	153	751
170	154	749
171	155	748
172	156	746
173	156	744
174	157	742
175	158	741
176	159	739
177	159	737
178	160	736
179	161	735
180	162	734
181	163	733
182	164	732
183	164	730
184	165	729
185	166	727
